role_id,role_title,role_description,required_skills
31,DevOps Engineer,"Responsible for azure, solidity, spark, cloud tasks and projects","azure,solidity,spark,cloud"
32,Business Consultant,"Responsible for css, kubernetes, django tasks and projects","css,kubernetes,django"
33,Data Administrator,"Responsible for nlp, git, css, c#, java tasks and projects","nlp,git,css,c#,java"
34,AI Specialist,"Responsible for nlp, tensorflow, spark, adobe xd, numpy, flask tasks and projects","nlp,tensorflow,spark,adobe xd,numpy,flask"
35,Machine Learning Engineer,"Responsible for solidity, spark, sql, cloud, css, git tasks and projects","solidity,spark,sql,cloud,css,git"
36,Machine Learning Specialist,"Responsible for flutter, kubernetes, react, html, c++ tasks and projects","flutter,kubernetes,react,html,c++"
37,UI/UX Engineer,"Responsible for javascript, c#, pandas, solidity, django, git tasks and projects","javascript,c#,pandas,solidity,django,git"
38,Security Developer,"Responsible for pandas, javascript, node, c++, sql, numpy tasks and projects","pandas,javascript,node,c++,sql,numpy"
39,QA Administrator,"Responsible for numpy, git, kotlin, spark tasks and projects","numpy,git,kotlin,spark"
40,Full Stack Architect,"Responsible for spark, node, tensorflow, unity, pandas tasks and projects","spark,node,tensorflow,unity,pandas"
41,Full Stack Specialist,"Responsible for solidity, figma, c++, python, pytorch tasks and projects","solidity,figma,c++,python,pytorch"
42,Game Engineer,"Responsible for c++, sql, aws, pandas tasks and projects","c++,sql,aws,pandas"
43,Robotics Scientist,"Responsible for git, django, nlp, spark, unity tasks and projects","git,django,nlp,spark,unity"
44,Frontend Designer,"Responsible for adobe xd, pytorch, python, flask, node tasks and projects","adobe xd,pytorch,python,flask,node"
45,Embedded Architect,"Responsible for c++, java, c# tasks and projects","c++,java,c#"
46,Product Architect,"Responsible for c#, solidity, airflow, flutter, c++ tasks and projects","c#,solidity,airflow,flutter,c++"
47,Security Specialist,"Responsible for cloud, django, kotlin, solidity, javascript tasks and projects","cloud,django,kotlin,solidity,javascript"
48,Data Administrator,"Responsible for javascript, git, kotlin tasks and projects","javascript,git,kotlin"
49,Frontend Designer,"Responsible for flutter, swift, pandas, c++ tasks and projects","flutter,swift,pandas,c++"
50,Product Consultant,"Responsible for docker, unity, node, javascript, pandas, c++ tasks and projects","docker,unity,node,javascript,pandas,c++"
51,Embedded Administrator,"Responsible for java, aws, adobe xd tasks and projects","java,aws,adobe xd"
52,Blockchain Manager,"Responsible for git, flutter, node tasks and projects","git,flutter,node"
53,Machine Learning Developer,"Responsible for java, cloud, nlp, c#, solidity, sql tasks and projects","java,cloud,nlp,c#,solidity,sql"
54,Game Analyst,"Responsible for css, linux, nlp, kubernetes, python tasks and projects","css,linux,nlp,kubernetes,python"
55,IoT Designer,"Responsible for figma, pandas, c++, airflow, cloud, flutter tasks and projects","figma,pandas,c++,airflow,cloud,flutter"
56,Mobile Manager,"Responsible for figma, sql, nlp, python, airflow tasks and projects","figma,sql,nlp,python,airflow"
57,Mobile Specialist,"Responsible for spark, tensorflow, git, node tasks and projects","spark,tensorflow,git,node"
58,Machine Learning Consultant,"Responsible for airflow, numpy, html, flask tasks and projects","airflow,numpy,html,flask"
59,AI Designer,"Responsible for react, numpy, linux tasks and projects","react,numpy,linux"
60,Product Consultant,"Responsible for react, pytorch, c++, javascript tasks and projects","react,pytorch,c++,javascript"
61,Mobile Specialist,"Responsible for c#, docker, nlp tasks and projects","c#,docker,nlp"
62,QA Developer,"Responsible for c++, kotlin, azure tasks and projects","c++,kotlin,azure"
63,Mobile Specialist,"Responsible for numpy, swift, flask, spark, docker, cloud tasks and projects","numpy,swift,flask,spark,docker,cloud"
64,AI Engineer,"Responsible for nlp, java, sql, docker, c#, tensorflow tasks and projects","nlp,java,sql,docker,c#,tensorflow"
65,Mobile Engineer,"Responsible for django, docker, airflow tasks and projects","django,docker,airflow"
66,Full Stack Specialist,"Responsible for flutter, numpy, unity, css, html tasks and projects","flutter,numpy,unity,css,html"
67,IoT Designer,"Responsible for docker, sql, unity, spark, tensorflow tasks and projects","docker,sql,unity,spark,tensorflow"
68,UI/UX Architect,"Responsible for django, pytorch, azure, c++, react, html tasks and projects","django,pytorch,azure,c++,react,html"
69,Embedded Manager,"Responsible for docker, figma, flutter, kotlin, airflow tasks and projects","docker,figma,flutter,kotlin,airflow"
70,QA Architect,"Responsible for react, tensorflow, kotlin, docker, spark tasks and projects","react,tensorflow,kotlin,docker,spark"
71,IoT Consultant,"Responsible for azure, kotlin, javascript, django, c# tasks and projects","azure,kotlin,javascript,django,c#"
72,QA Developer,"Responsible for c++, aws, linux, tensorflow, figma, pandas tasks and projects","c++,aws,linux,tensorflow,figma,pandas"
73,Business Analyst,"Responsible for azure, figma, kotlin, unity tasks and projects","azure,figma,kotlin,unity"
74,AI Engineer,"Responsible for javascript, sql, tensorflow, css, react tasks and projects","javascript,sql,tensorflow,css,react"
75,Mobile Administrator,"Responsible for figma, sql, pandas, azure tasks and projects","figma,sql,pandas,azure"
76,Backend Manager,"Responsible for solidity, azure, tensorflow tasks and projects","solidity,azure,tensorflow"
77,QA Developer,"Responsible for python, unity, cloud tasks and projects","python,unity,cloud"
78,Embedded Developer,"Responsible for javascript, pandas, node, css tasks and projects","javascript,pandas,node,css"
79,AI Administrator,"Responsible for unity, numpy, swift, linux, git tasks and projects","unity,numpy,swift,linux,git"
80,IoT Designer,"Responsible for cloud, adobe xd, solidity tasks and projects","cloud,adobe xd,solidity"
81,Game Manager,"Responsible for java, kotlin, sql, spark tasks and projects","java,kotlin,sql,spark"
82,Embedded Analyst,"Responsible for airflow, solidity, java tasks and projects","airflow,solidity,java"
83,IoT Designer,"Responsible for airflow, figma, pytorch, pandas tasks and projects","airflow,figma,pytorch,pandas"
84,Product Analyst,"Responsible for flask, nlp, pandas, linux, aws, docker tasks and projects","flask,nlp,pandas,linux,aws,docker"
85,Blockchain Manager,"Responsible for javascript, pytorch, docker, python tasks and projects","javascript,pytorch,docker,python"
86,Data Developer,"Responsible for node, unity, python tasks and projects","node,unity,python"
87,Business Scientist,"Responsible for cloud, c#, adobe xd, java, python tasks and projects","cloud,c#,adobe xd,java,python"
88,IoT Consultant,"Responsible for pandas, pytorch, css, java, node, nlp tasks and projects","pandas,pytorch,css,java,node,nlp"
89,Full Stack Analyst,"Responsible for linux, aws, flutter tasks and projects","linux,aws,flutter"
90,Security Architect,"Responsible for css, django, java tasks and projects","css,django,java"
91,Data Architect,"Responsible for tensorflow, c++, python, linux, css, azure tasks and projects","tensorflow,c++,python,linux,css,azure"
92,Blockchain Administrator,"Responsible for kotlin, react, figma, pandas, css, docker tasks and projects","kotlin,react,figma,pandas,css,docker"
93,Product Specialist,"Responsible for adobe xd, docker, azure tasks and projects","adobe xd,docker,azure"
94,Security Scientist,"Responsible for kubernetes, linux, kotlin tasks and projects","kubernetes,linux,kotlin"
95,Backend Designer,"Responsible for html, javascript, nlp, aws, node, solidity tasks and projects","html,javascript,nlp,aws,node,solidity"
96,Backend Specialist,"Responsible for css, c++, pandas, flutter tasks and projects","css,c++,pandas,flutter"
97,Backend Analyst,"Responsible for kotlin, pandas, docker tasks and projects","kotlin,pandas,docker"
98,IoT Engineer,"Responsible for html, javascript, flutter, swift, react, node tasks and projects","html,javascript,flutter,swift,react,node"
99,Cloud Scientist,"Responsible for c++, spark, azure tasks and projects","c++,spark,azure"
100,Blockchain Analyst,"Responsible for html, pytorch, python, git, kubernetes, cloud tasks and projects","html,pytorch,python,git,kubernetes,cloud"
101,Robotics Architect,"Responsible for docker, sql, javascript, unity, node tasks and projects","docker,sql,javascript,unity,node"
102,Product Administrator,"Responsible for aws, pandas, figma, css tasks and projects","aws,pandas,figma,css"
103,Mobile Engineer,"Responsible for html, azure, flutter, swift, react tasks and projects","html,azure,flutter,swift,react"
104,Marketing Specialist,"Responsible for html, javascript, adobe xd, linux tasks and projects","html,javascript,adobe xd,linux"
105,DevOps Manager,"Responsible for kubernetes, solidity, swift, numpy tasks and projects","kubernetes,solidity,swift,numpy"
106,Game Architect,"Responsible for sql, spark, react, nlp, docker, java tasks and projects","sql,spark,react,nlp,docker,java"
107,Robotics Manager,"Responsible for django, c++, git tasks and projects","django,c++,git"
108,Mobile Administrator,"Responsible for c++, docker, solidity, unity tasks and projects","c++,docker,solidity,unity"
109,Embedded Engineer,"Responsible for sql, django, cloud, aws, c++, unity tasks and projects","sql,django,cloud,aws,c++,unity"
110,IoT Consultant,"Responsible for django, swift, react, html tasks and projects","django,swift,react,html"
111,Marketing Analyst,"Responsible for aws, solidity, linux, airflow, kotlin, nlp tasks and projects","aws,solidity,linux,airflow,kotlin,nlp"
112,Data Developer,"Responsible for docker, solidity, numpy tasks and projects","docker,solidity,numpy"
113,QA Analyst,"Responsible for node, java, cloud, git, aws, django tasks and projects","node,java,cloud,git,aws,django"
114,Robotics Manager,"Responsible for javascript, pandas, django, c#, unity, solidity tasks and projects","javascript,pandas,django,c#,unity,solidity"
115,IoT Specialist,"Responsible for adobe xd, node, solidity, pytorch, swift, flask tasks and projects","adobe xd,node,solidity,pytorch,swift,flask"
116,Machine Learning Developer,"Responsible for html, solidity, django tasks and projects","html,solidity,django"
117,Game Consultant,"Responsible for flask, pandas, numpy, airflow tasks and projects","flask,pandas,numpy,airflow"
118,Frontend Analyst,"Responsible for c#, figma, aws, javascript tasks and projects","c#,figma,aws,javascript"
119,Game Engineer,"Responsible for javascript, node, c# tasks and projects","javascript,node,c#"
120,Data Analyst,"Responsible for figma, java, aws tasks and projects","figma,java,aws"
121,Business Consultant,"Responsible for aws, c++, html, pytorch, python, c# tasks and projects","aws,c++,html,pytorch,python,c#"
122,Security Engineer,"Responsible for css, kotlin, flask, node, sql, flutter tasks and projects","css,kotlin,flask,node,sql,flutter"
123,Business Architect,"Responsible for solidity, flask, swift, css, c++, pytorch tasks and projects","solidity,flask,swift,css,c++,pytorch"
124,Cloud Architect,"Responsible for docker, node, c++, python, kubernetes tasks and projects","docker,node,c++,python,kubernetes"
125,Blockchain Consultant,"Responsible for linux, airflow, flask, spark, pandas, figma tasks and projects","linux,airflow,flask,spark,pandas,figma"
126,Marketing Developer,"Responsible for adobe xd, css, solidity, sql tasks and projects","adobe xd,css,solidity,sql"
127,Security Manager,"Responsible for swift, react, c#, figma tasks and projects","swift,react,c#,figma"
128,Backend Manager,"Responsible for pandas, adobe xd, git, node tasks and projects","pandas,adobe xd,git,node"
129,Game Administrator,"Responsible for docker, python, flutter, airflow, kotlin tasks and projects","docker,python,flutter,airflow,kotlin"
130,Game Administrator,"Responsible for pandas, c++, figma tasks and projects","pandas,c++,figma"
131,Full Stack Specialist,"Responsible for pytorch, flutter, pandas, aws, swift tasks and projects","pytorch,flutter,pandas,aws,swift"
132,IoT Administrator,"Responsible for docker, adobe xd, node tasks and projects","docker,adobe xd,node"
133,Data Administrator,"Responsible for azure, node, javascript, git tasks and projects","azure,node,javascript,git"
134,Blockchain Scientist,"Responsible for javascript, figma, css, python, kotlin tasks and projects","javascript,figma,css,python,kotlin"
135,Game Developer,"Responsible for python, node, flutter, css, tensorflow, swift tasks and projects","python,node,flutter,css,tensorflow,swift"
136,Business Analyst,"Responsible for flutter, tensorflow, node, css, solidity tasks and projects","flutter,tensorflow,node,css,solidity"
137,Full Stack Scientist,"Responsible for adobe xd, flask, cloud, git tasks and projects","adobe xd,flask,cloud,git"
138,Game Manager,"Responsible for cloud, adobe xd, sql, docker, react, javascript tasks and projects","cloud,adobe xd,sql,docker,react,javascript"
139,Machine Learning Engineer,"Responsible for adobe xd, unity, solidity, kubernetes, swift, node tasks and projects","adobe xd,unity,solidity,kubernetes,swift,node"
140,AI Architect,"Responsible for kotlin, solidity, python, numpy, spark, cloud tasks and projects","kotlin,solidity,python,numpy,spark,cloud"
141,Frontend Architect,"Responsible for pytorch, react, git tasks and projects","pytorch,react,git"
142,UI/UX Architect,"Responsible for swift, python, react tasks and projects","swift,python,react"
143,Business Manager,"Responsible for unity, airflow, kubernetes, react tasks and projects","unity,airflow,kubernetes,react"
144,Game Manager,"Responsible for java, adobe xd, unity, nlp tasks and projects","java,adobe xd,unity,nlp"
145,Cloud Architect,"Responsible for docker, node, linux, pandas, solidity tasks and projects","docker,node,linux,pandas,solidity"
146,DevOps Analyst,"Responsible for nlp, pytorch, sql tasks and projects","nlp,pytorch,sql"
147,Security Architect,"Responsible for flutter, adobe xd, react tasks and projects","flutter,adobe xd,react"
148,Product Administrator,"Responsible for nlp, tensorflow, c++ tasks and projects","nlp,tensorflow,c++"
149,AI Specialist,"Responsible for c++, adobe xd, flask, django, sql, html tasks and projects","c++,adobe xd,flask,django,sql,html"
150,Mobile Scientist,"Responsible for c#, pandas, azure, aws, nlp tasks and projects","c#,pandas,azure,aws,nlp"
151,Security Developer,"Responsible for cloud, git, pytorch tasks and projects","cloud,git,pytorch"
152,AI Administrator,"Responsible for nlp, kubernetes, azure, tensorflow, pandas tasks and projects","nlp,kubernetes,azure,tensorflow,pandas"
153,Embedded Scientist,"Responsible for pytorch, nlp, pandas, react, azure tasks and projects","pytorch,nlp,pandas,react,azure"
154,QA Scientist,"Responsible for tensorflow, nlp, numpy, azure tasks and projects","tensorflow,nlp,numpy,azure"
155,Machine Learning Designer,"Responsible for git, html, adobe xd, solidity, sql, numpy tasks and projects","git,html,adobe xd,solidity,sql,numpy"
156,Cloud Engineer,"Responsible for adobe xd, unity, c# tasks and projects","adobe xd,unity,c#"
157,Product Architect,"Responsible for c#, tensorflow, aws, pytorch tasks and projects","c#,tensorflow,aws,pytorch"
158,Product Designer,"Responsible for react, c++, java tasks and projects","react,c++,java"
159,Marketing Administrator,"Responsible for unity, django, flutter, node, c++ tasks and projects","unity,django,flutter,node,c++"
160,Embedded Scientist,"Responsible for azure, swift, java, airflow, nlp, c# tasks and projects","azure,swift,java,airflow,nlp,c#"
161,Machine Learning Developer,"Responsible for kotlin, pandas, adobe xd tasks and projects","kotlin,pandas,adobe xd"
162,Machine Learning Designer,"Responsible for css, unity, pytorch tasks and projects","css,unity,pytorch"
163,DevOps Specialist,"Responsible for tensorflow, cloud, kotlin, c# tasks and projects","tensorflow,cloud,kotlin,c#"
164,Business Designer,"Responsible for figma, django, solidity, swift, aws tasks and projects","figma,django,solidity,swift,aws"
165,Product Manager,"Responsible for git, django, unity, c#, java, numpy tasks and projects","git,django,unity,c#,java,numpy"
166,Mobile Specialist,"Responsible for unity, java, c#, css, flutter tasks and projects","unity,java,c#,css,flutter"
167,Machine Learning Analyst,"Responsible for kubernetes, react, numpy, linux, nlp, flutter tasks and projects","kubernetes,react,numpy,linux,nlp,flutter"
168,Robotics Specialist,"Responsible for spark, flutter, linux, javascript, c++, kotlin tasks and projects","spark,flutter,linux,javascript,c++,kotlin"
169,Game Designer,"Responsible for html, c++, django, aws tasks and projects","html,c++,django,aws"
170,Cloud Designer,"Responsible for solidity, swift, sql, docker, django tasks and projects","solidity,swift,sql,docker,django"
171,Robotics Manager,"Responsible for javascript, kotlin, c++, cloud, pytorch, java tasks and projects","javascript,kotlin,c++,cloud,pytorch,java"
172,Security Consultant,"Responsible for kotlin, c++, tensorflow, javascript, css tasks and projects","kotlin,c++,tensorflow,javascript,css"
173,Frontend Engineer,"Responsible for python, html, unity, figma, c++ tasks and projects","python,html,unity,figma,c++"
174,AI Consultant,"Responsible for spark, react, solidity tasks and projects","spark,react,solidity"
175,Cloud Developer,"Responsible for flutter, swift, react, css, sql tasks and projects","flutter,swift,react,css,sql"
176,Backend Developer,"Responsible for c++, sql, git, node, figma, pytorch tasks and projects","c++,sql,git,node,figma,pytorch"
177,Backend Architect,"Responsible for nlp, python, figma tasks and projects","nlp,python,figma"
178,DevOps Architect,"Responsible for linux, html, pandas, node tasks and projects","linux,html,pandas,node"
179,Game Specialist,"Responsible for flutter, css, adobe xd, java, nlp tasks and projects","flutter,css,adobe xd,java,nlp"
180,DevOps Administrator,"Responsible for html, azure, javascript, adobe xd, pandas tasks and projects","html,azure,javascript,adobe xd,pandas"
181,Marketing Engineer,"Responsible for nlp, css, sql, solidity tasks and projects","nlp,css,sql,solidity"
182,Cloud Manager,"Responsible for kotlin, azure, aws, flask tasks and projects","kotlin,azure,aws,flask"
183,Robotics Scientist,"Responsible for django, solidity, flutter, pytorch, c++, css tasks and projects","django,solidity,flutter,pytorch,c++,css"
184,Cloud Consultant,"Responsible for adobe xd, python, cloud, flutter, css tasks and projects","adobe xd,python,cloud,flutter,css"
185,Embedded Engineer,"Responsible for css, flask, django tasks and projects","css,flask,django"
186,Security Analyst,"Responsible for node, flutter, pytorch tasks and projects","node,flutter,pytorch"
187,Marketing Architect,"Responsible for c++, react, kotlin tasks and projects","c++,react,kotlin"
188,Marketing Scientist,"Responsible for tensorflow, flask, java, nlp, airflow tasks and projects","tensorflow,flask,java,nlp,airflow"
189,Full Stack Engineer,"Responsible for linux, spark, azure tasks and projects","linux,spark,azure"
190,Cloud Manager,"Responsible for flutter, tensorflow, flask, numpy, git, pandas tasks and projects","flutter,tensorflow,flask,numpy,git,pandas"
191,UI/UX Specialist,"Responsible for aws, spark, swift, css, numpy, sql tasks and projects","aws,spark,swift,css,numpy,sql"
192,Cloud Specialist,"Responsible for kubernetes, linux, pandas, unity, solidity tasks and projects","kubernetes,linux,pandas,unity,solidity"
193,Robotics Developer,"Responsible for nlp, c++, solidity tasks and projects","nlp,c++,solidity"
194,QA Consultant,"Responsible for unity, git, numpy, figma tasks and projects","unity,git,numpy,figma"
195,QA Manager,"Responsible for nlp, linux, figma tasks and projects","nlp,linux,figma"
196,Product Manager,"Responsible for spark, kotlin, adobe xd tasks and projects","spark,kotlin,adobe xd"
197,Business Specialist,"Responsible for aws, tensorflow, git tasks and projects","aws,tensorflow,git"
198,Backend Designer,"Responsible for flutter, c++, django, javascript, nlp, airflow tasks and projects","flutter,c++,django,javascript,nlp,airflow"
199,Mobile Developer,"Responsible for sql, node, javascript tasks and projects","sql,node,javascript"
200,QA Specialist,"Responsible for aws, pytorch, tensorflow, unity, html tasks and projects","aws,pytorch,tensorflow,unity,html"
201,Mobile Analyst,"Responsible for kotlin, javascript, c++ tasks and projects","kotlin,javascript,c++"
202,Machine Learning Developer,"Responsible for css, flutter, flask tasks and projects","css,flutter,flask"
203,Data Scientist,"Responsible for airflow, aws, tensorflow, spark, flutter, azure tasks and projects","airflow,aws,tensorflow,spark,flutter,azure"
204,Frontend Consultant,"Responsible for kubernetes, c#, cloud, nlp, c++ tasks and projects","kubernetes,c#,cloud,nlp,c++"
205,AI Developer,"Responsible for kotlin, node, cloud, python, swift tasks and projects","kotlin,node,cloud,python,swift"
206,Frontend Specialist,"Responsible for tensorflow, docker, airflow tasks and projects","tensorflow,docker,airflow"
207,UI/UX Analyst,"Responsible for aws, azure, flutter, django, swift, git tasks and projects","aws,azure,flutter,django,swift,git"
208,Mobile Architect,"Responsible for kotlin, adobe xd, html, pytorch tasks and projects","kotlin,adobe xd,html,pytorch"
209,Machine Learning Scientist,"Responsible for kubernetes, aws, pandas tasks and projects","kubernetes,aws,pandas"
210,Robotics Developer,"Responsible for spark, solidity, aws, react tasks and projects","spark,solidity,aws,react"
211,Game Scientist,"Responsible for kubernetes, javascript, django, cloud, sql tasks and projects","kubernetes,javascript,django,cloud,sql"
212,Robotics Designer,"Responsible for java, pandas, python tasks and projects","java,pandas,python"
213,Game Scientist,"Responsible for pandas, figma, docker, linux tasks and projects","pandas,figma,docker,linux"
214,Data Manager,"Responsible for aws, kotlin, figma, python tasks and projects","aws,kotlin,figma,python"
215,Marketing Manager,"Responsible for swift, tensorflow, django, python, kubernetes, solidity tasks and projects","swift,tensorflow,django,python,kubernetes,solidity"
216,Mobile Administrator,"Responsible for django, javascript, cloud, git tasks and projects","django,javascript,cloud,git"
217,Product Designer,"Responsible for solidity, pandas, html, cloud, c++, java tasks and projects","solidity,pandas,html,cloud,c++,java"
218,Game Developer,"Responsible for css, java, react tasks and projects","css,java,react"
219,Machine Learning Specialist,"Responsible for kotlin, swift, c# tasks and projects","kotlin,swift,c#"
220,UI/UX Scientist,"Responsible for sql, solidity, kotlin tasks and projects","sql,solidity,kotlin"
221,Security Designer,"Responsible for django, git, adobe xd, linux, c#, python tasks and projects","django,git,adobe xd,linux,c#,python"
222,DevOps Designer,"Responsible for c++, c#, pandas, airflow, python, figma tasks and projects","c++,c#,pandas,airflow,python,figma"
223,AI Administrator,"Responsible for airflow, azure, c++, django, swift tasks and projects","airflow,azure,c++,django,swift"
224,Game Scientist,"Responsible for html, git, docker tasks and projects","html,git,docker"
225,Blockchain Designer,"Responsible for react, django, git, nlp tasks and projects","react,django,git,nlp"
226,UI/UX Engineer,"Responsible for git, html, c++ tasks and projects","git,html,c++"
227,Robotics Specialist,"Responsible for c++, java, git, solidity, kotlin, swift tasks and projects","c++,java,git,solidity,kotlin,swift"
228,Game Developer,"Responsible for flask, cloud, aws, unity, html tasks and projects","flask,cloud,aws,unity,html"
229,Backend Consultant,"Responsible for javascript, azure, flutter, c# tasks and projects","javascript,azure,flutter,c#"
230,AI Analyst,"Responsible for sql, tensorflow, python, c# tasks and projects","sql,tensorflow,python,c#"
231,Data Engineer,"Responsible for flutter, azure, adobe xd, sql, aws tasks and projects","flutter,azure,adobe xd,sql,aws"
232,QA Developer,"Responsible for numpy, unity, html, nlp, git tasks and projects","numpy,unity,html,nlp,git"
233,QA Scientist,"Responsible for tensorflow, adobe xd, airflow, c++ tasks and projects","tensorflow,adobe xd,airflow,c++"
234,Marketing Engineer,"Responsible for c++, airflow, c# tasks and projects","c++,airflow,c#"
235,Data Specialist,"Responsible for numpy, sql, spark, swift, docker tasks and projects","numpy,sql,spark,swift,docker"
236,Business Specialist,"Responsible for cloud, django, figma, adobe xd, java, solidity tasks and projects","cloud,django,figma,adobe xd,java,solidity"
237,Backend Architect,"Responsible for kubernetes, spark, swift, python, flask tasks and projects","kubernetes,spark,swift,python,flask"
238,Game Scientist,"Responsible for docker, kubernetes, react tasks and projects","docker,kubernetes,react"
239,Frontend Engineer,"Responsible for aws, kubernetes, html, azure, pytorch tasks and projects","aws,kubernetes,html,azure,pytorch"
240,Business Specialist,"Responsible for unity, kotlin, c#, c++, html tasks and projects","unity,kotlin,c#,c++,html"
241,Backend Manager,"Responsible for swift, kotlin, tensorflow, nlp, c++, pytorch tasks and projects","swift,kotlin,tensorflow,nlp,c++,pytorch"
242,Business Architect,"Responsible for html, solidity, linux, python, numpy, pytorch tasks and projects","html,solidity,linux,python,numpy,pytorch"
243,Blockchain Consultant,"Responsible for javascript, airflow, flask, kotlin tasks and projects","javascript,airflow,flask,kotlin"
244,DevOps Designer,"Responsible for aws, docker, java, node, linux, django tasks and projects","aws,docker,java,node,linux,django"
245,Game Specialist,"Responsible for pytorch, tensorflow, figma, kotlin tasks and projects","pytorch,tensorflow,figma,kotlin"
246,Product Scientist,"Responsible for docker, azure, kotlin, spark tasks and projects","docker,azure,kotlin,spark"
247,IoT Engineer,"Responsible for linux, c#, spark, react, unity tasks and projects","linux,c#,spark,react,unity"
248,DevOps Engineer,"Responsible for figma, nlp, spark tasks and projects","figma,nlp,spark"
249,Product Architect,"Responsible for javascript, numpy, kotlin tasks and projects","javascript,numpy,kotlin"
250,Data Administrator,"Responsible for solidity, kotlin, pytorch, node tasks and projects","solidity,kotlin,pytorch,node"
251,Embedded Engineer,"Responsible for unity, aws, pandas, linux tasks and projects","unity,aws,pandas,linux"
252,Data Consultant,"Responsible for python, node, azure tasks and projects","python,node,azure"
253,Blockchain Developer,"Responsible for swift, kotlin, node tasks and projects","swift,kotlin,node"
254,IoT Analyst,"Responsible for node, django, c++, python, cloud, react tasks and projects","node,django,c++,python,cloud,react"
255,Mobile Consultant,"Responsible for numpy, sql, flutter, kotlin, react tasks and projects","numpy,sql,flutter,kotlin,react"
256,Mobile Designer,"Responsible for tensorflow, css, nlp tasks and projects","tensorflow,css,nlp"
257,Business Architect,"Responsible for django, git, python, css, adobe xd tasks and projects","django,git,python,css,adobe xd"
258,Security Designer,"Responsible for css, sql, kotlin, c#, tensorflow tasks and projects","css,sql,kotlin,c#,tensorflow"
259,Data Manager,"Responsible for spark, figma, nlp tasks and projects","spark,figma,nlp"
260,Embedded Developer,"Responsible for adobe xd, node, azure, figma tasks and projects","adobe xd,node,azure,figma"
261,Marketing Developer,"Responsible for html, django, react, linux, swift tasks and projects","html,django,react,linux,swift"
262,AI Architect,"Responsible for html, kubernetes, c#, flask, docker tasks and projects","html,kubernetes,c#,flask,docker"
263,UI/UX Scientist,"Responsible for c#, nlp, javascript, django, kubernetes, pandas tasks and projects","c#,nlp,javascript,django,kubernetes,pandas"
